Experiment,Site,Date,Sample,Name,X_lab,Indel_stringent,Indel,Reads_low_phred,Reads_no_nmer,Reads_passing,Total_indel_stringent,Total_indel
1,FANCFg2 ON,11.19.17,NP_171119_Elf_JM_FANCFg2_GFP_1_FANCFg2_ON_S831_pear.fastq.assembled.fastqwtf-difflib_indels.csv,ELF_FANCFg2_GFP_1, + + - +,50.04224757,50.06337136,0,272,4734,2369,2370
1,FANCFg2 ON,11.19.17,NP_171119_Elf_JM_FANCFg2_GFP_2_FANCFg2_ON_S832_pear.fastq.assembled.fastqwtf-difflib_indels.csv,ELF_FANCFg2_GFP_2, + + - +,64.64902743,64.64902743,3,546,8277,5351,5351
1,FANCFg2 ON,11.19.17,NP_171119_Elf_JM_FANCFg2_GFP_3_FANCFg2_ON_S833_pear.fastq.assembled.fastqwtf-difflib_indels.csv,ELF_FANCFg2_GFP_3, + + - +,59.82243086,59.86325135,2,456,9799,5862,5866
1,FANCFg2 ON,11.19.17,NP_171119_Elf_JM_FANCFg2_d1_1_FANCFg2_ON_S834_pear.fastq.assembled.fastqwtf-difflib_indels.csv,ELF_FANCFg2_OT1d1_1, + + 1 +,60.16190882,60.18321261,1,264,4694,2824,2825
1,FANCFg2 ON,11.19.17,NP_171119_Elf_JM_FANCFg2_d1_2_FANCFg2_ON_S835_pear.fastq.assembled.fastqwtf-difflib_indels.csv,ELF_FANCFg2_OT1d1_2, + + 1 +,64.978153,64.99296453,0,731,13503,8774,8776
1,FANCFg2 ON,11.19.17,NP_171119_Elf_JM_FANCFg2_d1_3_FANCFg2_ON_S1032_R1_001.fastqwtf-difflib_indels.csv,ELF_FANCFg2_OT1d1_3, + + 1 +,49.63875743,49.64630954,11000,6497,79448,39437,39443
1,FANCFg2 ON,11.19.17,NP_171119_Elf_JM_NT_Dox_1_FANCFg2_ON_S838_pear.fastq.assembled.fastqwtf-difflib_indels.csv,ELF_NT_dox_1, + - - +,0.072244232,0.072244232,5,1822,42910,31,31
1,FANCFg2 ON,11.19.17,NP_171119_Elf_JM_NT_noDox_1_FANCFg2_ON_S837_pear.fastq.assembled.fastqwtf-difflib_indels.csv,ELF_NT_nodox_1, - - - -,0.014506419,0.014506419,1,488,13787,2,2
1,FANCFg2 ON,03.18.18,JM_180317_Elf_iCas9_p21_Dox_1_FANCFg2_ON_S928_R1_001.fastqwtf-difflib_indels.csv,NT_dox_1, + - - +,0.027466125,0.029130739,2748,5738,120148,33,35
1,FANCFg2 ON,03.18.18,JM_180317_Elf_iCas9_p21_Dox_2_FANCFg2_ON_S929_R1_001.fastqwtf-difflib_indels.csv,NT_dox_2, + - - +,0.063788859,0.063788859,2122,5147,100331,64,64
1,FANCFg2 ON,03.18.18,JM_180317_Elf_iCas9_p21_Dox_3_FANCFg2_ON_S930_R1_001.fastqwtf-difflib_indels.csv,NT_dox_3, + - - +,0.056566418,0.057613945,1982,4649,95463,54,55
1,FANCFg2 ON,03.18.18,JM_180317_Elf_iCas9_p21_noDox_1_FANCFg2_ON_S925_R1_001.fastqwtf-difflib_indels.csv,NT_nodox_1, - - - -,0.02475361,0.026587211,2418,4845,109075,27,29
1,FANCFg2 ON,03.18.18,JM_180317_Elf_iCas9_p21_noDox_2_FANCFg2_ON_S926_R1_001.fastqwtf-difflib_indels.csv,NT_nodox_2, - - - -,0.082990279,0.084633651,2588,5909,121701,101,103
1,FANCFg2 ON,03.18.18,JM_180317_Elf_iCas9_p21_noDox_3_FANCFg2_ON_S927_R1_001.fastqwtf-difflib_indels.csv,NT_nodox_3, - - - -,0.027401014,0.027401014,2240,5167,102186,28,28
1,FANCFg2 OT1,11.19.17,NP_171119_Elf_JM_FANCFg2_GFP_1_FANCFg2_OT1_S934_pear.fastq.assembled.fastqwtf-difflib_indels.csv,ELF_FANCFg2_GFP_1, + + - +,49.57537155,49.57537155,1,287,1884,934,934
1,FANCFg2 OT1,11.19.17,NP_171119_Elf_JM_FANCFg2_GFP_2_FANCFg2_OT1_S935_pear.fastq.assembled.fastqwtf-difflib_indels.csv,ELF_FANCFg2_GFP_2, + + - +,48.62135922,48.62135922,1,205,2575,1252,1252
1,FANCFg2 OT1,11.19.17,NP_171119_Elf_JM_FANCFg2_GFP_3_FANCFg2_OT1_S936_pear.fastq.assembled.fastqwtf-difflib_indels.csv,ELF_FANCFg2_GFP_3, + + - +,46.95296524,46.95296524,2,247,2445,1148,1148
1,FANCFg2 OT1,11.19.17,NP_171119_Elf_JM_FANCFg2_d1_1_FANCFg2_OT1_S937_pear.fastq.assembled.fastqwtf-difflib_indels.csv,ELF_FANCFg2_OT1d1_1, + + 1 +,8.427454387,8.427454387,1,220,2302,194,194
1,FANCFg2 OT1,11.19.17,NP_171119_Elf_JM_FANCFg2_d1_2_FANCFg2_OT1_S938_pear.fastq.assembled.fastqwtf-difflib_indels.csv,ELF_FANCFg2_OT1d1_2, + + 1 +,6.048028461,6.048028461,1,426,3373,204,204
1,FANCFg2 OT1,11.19.17,NP_171119_Elf_JM_FANCFg2_d1_3_FANCFg2_OT1_S939_pear.fastq.assembled.fastqwtf-difflib_indels.csv,ELF_FANCFg2_OT1d1_3, + + 1 +,7.531806616,7.531806616,2,587,3930,296,296
1,FANCFg2 OT1,11.19.17,NP_171119_Elf_JM_NT_Dox_1_FANCFg2_OT1_S941_pear.fastq.assembled.fastqwtf-difflib_indels.csv,ELF_NT_dox_1, + - - +,0.008218953,0.014611472,18,24168,109503,9,16
1,FANCFg2 OT1,11.19.17,NP_171119_Elf_JM_NT_noDox_1_FANCFg2_OT1_S940_pear.fastq.assembled.fastqwtf-difflib_indels.csv,ELF_NT_nodox_1, - - - -,0.015683814,0.015683814,3,676,19128,3,3
1,FANCFg2 OT1,03.18.18,JM_180317_Elf_iCas9_p21_Dox_1_FANCFg2_OT1_S940_R1_001.fastqwtf-difflib_indels.csv,NT_dox_1, + - - +,0.032659864,0.034912269,2413,4834,88794,29,31
1,FANCFg2 OT1,03.18.18,JM_180317_Elf_iCas9_p21_Dox_2_FANCFg2_OT1_S941_R1_001.fastqwtf-difflib_indels.csv,NT_dox_2, + - - +,0.051903792,0.052883109,2984,4954,102112,53,54
1,FANCFg2 OT1,03.18.18,JM_180317_Elf_iCas9_p21_Dox_3_FANCFg2_OT1_S942_R1_001.fastqwtf-difflib_indels.csv,NT_dox_3, + - - +,1.861740351,1.861740351,2718,4144,90453,1684,1684
1,FANCFg2 OT1,03.18.18,JM_180317_Elf_iCas9_p21_noDox_1_FANCFg2_OT1_S937_R1_001.fastqwtf-difflib_indels.csv,NT_nodox_1, - - - -,0.039521786,0.04446201,538,1031,20242,8,9
1,FANCFg2 OT1,03.18.18,JM_180317_Elf_iCas9_p21_noDox_2_FANCFg2_OT1_S745_R1_001.fastqwtf-difflib_indels.csv,NT_nodox_2, - - - -,0.035650998,0.035950586,25770,21863,667583,238,240
1,FANCFg2 OT1,03.18.18,JM_180317_Elf_iCas9_p21_noDox_3_FANCFg2_OT1_S939_R1_001.fastqwtf-difflib_indels.csv,NT_nodox_3, - - - -,0.059508067,0.061397212,3047,5009,105868,63,65
2,HBB-R03 ON,11.19.17,NP_171119_Elf_JM_HBB_GFP_1_HBB_ON_S948_pear.fastq.assembled.fastqwtf-difflib_indels.csv,ELF_HBB-R03_GFP_1, + + - +,28.10876219,28.13011602,17,2049,28098,7898,7904
2,HBB-R03 ON,11.19.17,NP_171119_Elf_JM_HBB_GFP_2_HBB_ON_S949_pear.fastq.assembled.fastqwtf-difflib_indels.csv,ELF_HBB-R03_GFP_2, + + - +,17.60096444,17.66124171,3,762,1659,292,293
2,HBB-R03 ON,11.19.17,NP_171119_Elf_JM_HBB_GFP_3_HBB_ON_S950_pear.fastq.assembled.fastqwtf-difflib_indels.csv,ELF_HBB-R03_GFP_3, + + - +,36.53914909,36.53914909,1,1312,5594,2044,2044
2,HBB-R03 ON,11.19.17,NP_171119_Elf_JM_HBB_d4_1_HBB_ON_S951_pear.fastq.assembled.fastqwtf-difflib_indels.csv,ELF_HBB-R03_OTd4_1, + + 4 +,6.061185103,6.099401907,10,6648,52333,3172,3192
2,HBB-R03 ON,11.19.17,NP_171119_Elf_JM_HBB_d4_2_HBB_ON_S952_pear.fastq.assembled.fastqwtf-difflib_indels.csv,ELF_HBB-R03_OTd4_2, + + 4 +,19.9771167,19.99084668,5,1420,21850,4365,4368
2,HBB-R03 ON,11.19.17,NP_171119_Elf_JM_HBB_d4_3_HBB_ON_S953_pear.fastq.assembled.fastqwtf-difflib_indels.csv,ELF_HBB-R03_OTd4_3, + + 4 +,25.88567396,25.90684545,6,1683,14170,3668,3671
2,HBB-R03 ON,11.19.17,NP_171119_Elf_JM_NT_Dox_1_HBB_ON_S731_R1_001.fastqwtf-difflib_indels.csv,ELF_NT_dox_1, + - - +,0.432220039,0.432220039,2638,13219,2545,11,11
2,HBB-R03 ON,11.19.17,NP_171119_Elf_JM_NT_noDox_1_HBB_ON_S954_pear.fastq.assembled.fastqwtf-difflib_indels.csv,ELF_NT_nodox_1, - - - -,0.038614424,0.056785917,6,3797,44025,17,25
2,HBB-R03 ON,,JM_180317_Elf_iCas9_p21_Dox_1_HBB_S952_R1_001.fastqwtf-difflib_indels.csv,NT_dox_1, + - - +,0.088990592,0.090403142,5468,8393,212382,189,192
2,HBB-R03 ON,,JM_180317_Elf_iCas9_p21_Dox_2_HBB_S953_R1_001.fastqwtf-difflib_indels.csv,NT_dox_2, + - - +,0.109953704,0.110532407,4336,7138,172800,190,191
2,HBB-R03 ON,,JM_180317_Elf_iCas9_p21_Dox_3_HBB_S954_R1_001.fastqwtf-difflib_indels.csv,NT_dox_3, + - - +,0.085532085,0.087156112,4806,7674,184726,158,161
2,HBB-R03 ON,,JM_180317_Elf_iCas9_p21_noDox_1_HBB_S949_R1_001.fastqwtf-difflib_indels.csv,NT_nodox_1, - - - -,0.108687133,0.11077727,5239,8560,191375,208,212
2,HBB-R03 ON,,JM_180317_Elf_iCas9_p21_noDox_2_HBB_S950_R1_001.fastqwtf-difflib_indels.csv,NT_nodox_2, - - - -,0.106116537,0.108128225,5222,7344,198838,211,215
2,HBB-R03 ON,,JM_180317_Elf_iCas9_p21_noDox_3_HBB_S951_R1_001.fastqwtf-difflib_indels.csv,NT_nodox_3, - - - -,0.098831862,0.099746972,5906,8492,218553,216,218
2,HBB-R03 OT-HBD,11.19.17,NP_171119_Elf_JM_HBB_GFP_1_HBD_OT_S962_pear.fastq.assembled.fastqwtf-difflib_indels.csv,ELF_HBB-R03_GFP_1, + + - +,16.81705391,16.81705391,0,690,8866,1491,1491
2,HBB-R03 OT-HBD,11.19.17,NP_171119_Elf_JM_HBB_GFP_2_HBD_OT_S963_pear.fastq.assembled.fastqwtf-difflib_indels.csv,ELF_HBB-R03_GFP_2, + + - +,19.31482575,19.3266391,1,621,8465,1635,1636
2,HBB-R03 OT-HBD,11.19.17,NP_171119_Elf_JM_HBB_GFP_3_HBD_OT_S964_pear.fastq.assembled.fastqwtf-difflib_indels.csv,ELF_HBB-R03_GFP_3, + + - +,26.01476015,26.0256132,2,2191,9214,2397,2398
2,HBB-R03 OT-HBD,11.19.17,NP_171119_Elf_JM_HBB_d4_1_HBD_OT_S965_pear.fastq.assembled.fastqwtf-difflib_indels.csv,ELF_HBB-R03_OTd4_1, + + 4 +,0.948319508,0.969739456,14,15752,205416,1948,1992
2,HBB-R03 OT-HBD,11.19.17,NP_171119_Elf_JM_HBB_d4_2_HBD_OT_S966_pear.fastq.assembled.fastqwtf-difflib_indels.csv,ELF_HBB-R03_OTd4_2, + + 4 +,1.110425663,1.110425663,1,320,3242,36,36
2,HBB-R03 OT-HBD,11.19.17,NP_171119_Elf_JM_HBB_d4_3_HBD_OT_S967_pear.fastq.assembled.fastqwtf-difflib_indels.csv,ELF_HBB-R03_OTd4_3, + + 4 +,1.544134593,1.613274948,1,281,4339,67,70
2,HBB-R03 OT-HBD,11.19.17,NP_171119_Elf_JM_NT_Dox_1_HBD_OT_S969_pear.fastq.assembled.fastqwtf-difflib_indels.csv,ELF_NT_dox_1, + - - +,0.09885383,0.10954073,8,2366,37429,37,41
2,HBB-R03 OT-HBD,11.19.17,NP_171119_Elf_JM_NT_noDox_1_HBD_OT_S968_pear.fastq.assembled.fastqwtf-difflib_indels.csv,ELF_NT_nodox_1, - - - -,0.082717873,0.082717873,7,833,16925,14,14
2,HBB-R03 OT-HBD,,JM_180317_Elf_iCas9_p21_Dox_1_HBD_S965_R1_001.fastqwtf-difflib_indels.csv,NT_dox_1, + - - +,0.056501165,0.056501165,869,990,14159,8,8
2,HBB-R03 OT-HBD,,JM_180317_Elf_iCas9_p21_Dox_2_HBD_S966_R1_001.fastqwtf-difflib_indels.csv,NT_dox_2, + - - +,0.098754764,0.098754764,3815,5511,64807,64,64
2,HBB-R03 OT-HBD,,JM_180317_Elf_iCas9_p21_Dox_3_HBD_S967_R1_001.fastqwtf-difflib_indels.csv,NT_dox_3, + - - +,0.080978088,0.0841537,3650,3908,62980,51,53
2,HBB-R03 OT-HBD,,JM_180317_Elf_iCas9_p21_noDox_1_HBD_S962_R1_001.fastqwtf-difflib_indels.csv,NT_nodox_1, - - - -,0.09753367,0.101774265,7154,10020,117908,115,120
2,HBB-R03 OT-HBD,,JM_180317_Elf_iCas9_p21_noDox_2_HBD_S963_R1_001.fastqwtf-difflib_indels.csv,NT_nodox_2, - - - -,0.132789221,0.136027983,5424,5255,92628,123,126
2,HBB-R03 OT-HBD,,JM_180317_Elf_iCas9_p21_noDox_3_HBD_S964_R1_001.fastqwtf-difflib_indels.csv,NT_nodox_3, - - - -,0.089047195,0.095767738,3688,4488,59519,53,57
