Experiment,Site,Date,Sample,Name,X_lab,Indel_stringent,Indel,Reads_low_phred,Reads_no_nmer,Reads_passing,Total_indel_stringent,Total_indel
1,FANCFg2 ON,07.21.17,FANCF_GFP_1_FANCFA_S725_R1_001.fastqwtf-difflib_indels.csv,U2OS_FANCF_GFP_1, + + -,38.82205371,38.83231655,14992,4459,87695,34045,34054
1,FANCFg2 ON,07.21.17,FANCF_GFP_2_FANCFA_S726_R1_001.fastqwtf-difflib_indels.csv,U2OS_FANCF_GFP_2, + + -,40.36656341,40.37360368,21803,6693,127836,51603,51612
1,FANCFg2 ON,07.21.17,FANCF_GFP_3_FANCFA_S727_R1_001.fastqwtf-difflib_indels.csv,U2OS_FANCF_GFP_3, + + -,31.32152086,31.3302065,16971,5087,92106,28849,28857
1,FANCFg2 ON,07.21.17,FANCF_d2_1_FANCFA_S728_R1_001.fastqwtf-difflib_indels.csv,U2OS_FANCF_OT1d1_1, + + 1,50.384393,50.42650848,25260,7917,140091,70584,70643
1,FANCFg2 ON,07.21.17,FANCF_d2_2_FANCFA_S729_R1_001.fastqwtf-difflib_indels.csv,U2OS_FANCF_OT1d1_2, + + 1,52.37286442,52.37486262,8548,2169,50045,26210,26211
1,FANCFg2 ON,07.21.17,FANCF_d2_3_FANCFA_S730_R1_001.fastqwtf-difflib_indels.csv,U2OS_FANCF_OT1d1_3, + + 1,50.72459621,50.73246449,24688,7335,139802,70914,70925
1,FANCFg2 ON,07.21.17,Null_1_FANCFA_S722_R1_001.fastqwtf-difflib_indels.csv,NT_1, - - -,0,0,596,442,2017,0,0
1,FANCFg2 ON,07.21.17,Null_2_FANCFA_S723_R1_001.fastqwtf-difflib_indels.csv,NT_2, - - -,0.008687989,0.009929131,14680,4678,80571,7,8
1,FANCFg2 ON,07.21.17,Null_3_FANCFA_S724_R1_001.fastqwtf-difflib_indels.csv,NT_3, - - -,0.002778627,0.00416794,11591,2815,71978,2,3
1,FANCFg2 OT1,07.21.17,FANCF_GFP_1_FANCFA_OT1_S737_R1_001.fastqwtf-difflib_indels.csv,U2OS_FANCF_GFP_1, + + -,6.775343861,6.775343861,1361,612,3926,266,266
1,FANCFg2 OT1,07.21.17,FANCF_GFP_2_FANCFA_OT1_S738_R1_001.fastqwtf-difflib_indels.csv,U2OS_FANCF_GFP_2, + + -,9.131489748,9.131489748,9590,1600,53989,4930,4930
