Experiment,Site,Date,Sample,Name,X_lab,Indel_stringent,Indel,Reads_low_phred,Reads_no_nmer,Reads_passing,Total_indel_stringent,Total_indel
1,FANCFg2 ON,,NP_17115_F2_OT1d1_1_FANCFg2_ON_S778_pear.fastq.assembled.fastqwtf-difflib_indels.csv,FANCFg2_OT1d1_only_1,dRNA,0.011549878,0.016169829,6,4610,86581,10,14
1,FANCFg2 ON,,NP_17115_F2_OT1d1_2_FANCFg2_ON_S779_pear.fastq.assembled.fastqwtf-difflib_indels.csv,FANCFg2_OT1d1_only_2,dRNA,0.004657499,0.004657499,5,2742,85883,4,4
1,FANCFg2 ON,,NP_17115_F2_OT1d1_3_FANCFg2_ON_S780_pear.fastq.assembled.fastqwtf-difflib_indels.csv,FANCFg2_OT1d1_only_3,dRNA,0.013019537,0.016848813,12,5807,130573,17,22
1,FANCFg2 ON,,NP_17115_NT_1_FANCFg2_ON_S781_pear.fastq.assembled.fastqwtf-difflib_indels.csv,NT_1,NT,0.013791374,0.015045135,5,2823,79760,11,12
1,FANCFg2 ON,,NP_17115_NT_2_FANCFg2_ON_S782_pear.fastq.assembled.fastqwtf-difflib_indels.csv,NT_2,NT,0.009110683,0.011388354,5,2645,87809,8,10
1,FANCFg2 ON,,NP_17115_NT_3_FANCFg2_ON_S783_pear.fastq.assembled.fastqwtf-difflib_indels.csv,NT_3,NT,0.01953776,0.026433439,6,4345,87011,17,23
1,FANCFg2 ON predicted,,NP_17115_F2_OT1d1_1_FANCFg2_ON_S778_pear.fastq.assembled.fastqwtf-difflib_indels.csv,FANCFg2_OT1d1_only_1,dRNA,0.011549878,0.016169829,6,4610,86581,10,14
1,FANCFg2 ON predicted,,NP_17115_F2_OT1d1_2_FANCFg2_ON_S779_pear.fastq.assembled.fastqwtf-difflib_indels.csv,FANCFg2_OT1d1_only_2,dRNA,0.004657499,0.004657499,5,2742,85883,4,4
1,FANCFg2 ON predicted,,NP_17115_F2_OT1d1_3_FANCFg2_ON_S780_pear.fastq.assembled.fastqwtf-difflib_indels.csv,FANCFg2_OT1d1_only_3,dRNA,0.013019537,0.016848813,12,5807,130573,17,22
1,FANCFg2 ON predicted,,NP_17115_NT_1_FANCFg2_ON_S781_pear.fastq.assembled.fastqwtf-difflib_indels.csv,NT_1,NT,0.013791374,0.015045135,5,2823,79760,11,12
1,FANCFg2 ON predicted,,NP_17115_NT_2_FANCFg2_ON_S782_pear.fastq.assembled.fastqwtf-difflib_indels.csv,NT_2,NT,0.009110683,0.011388354,5,2645,87809,8,10
1,FANCFg2 ON predicted,,NP_17115_NT_3_FANCFg2_ON_S783_pear.fastq.assembled.fastqwtf-difflib_indels.csv,NT_3,NT,0.01953776,0.026433439,6,4345,87011,17,23
1,FANCFg2 OT1,,NP_17115_F2_OT1d1_1_FANCFg2_OT1_S878_pear.fastq.assembled.fastqwtf-difflib_indels.csv,FANCFg2_OT1d1_only_1,dRNA,0.006548503,0.012005588,11,4000,91624,6,11
1,FANCFg2 OT1,,NP_17115_F2_OT1d1_2_FANCFg2_OT1_S879_pear.fastq.assembled.fastqwtf-difflib_indels.csv,FANCFg2_OT1d1_only_2,dRNA,0.008563843,0.019574499,16,2917,81739,7,16
1,FANCFg2 OT1,,NP_17115_F2_OT1d1_3_FANCFg2_OT1_S880_pear.fastq.assembled.fastqwtf-difflib_indels.csv,FANCFg2_OT1d1_only_3,dRNA,0.00539613,0.01079226,12,4060,92659,5,10
1,FANCFg2 OT1,,NP_17115_NT_1_FANCFg2_OT1_S881_pear.fastq.assembled.fastqwtf-difflib_indels.csv,NT_1,NT,0.010851535,0.015502194,8,1986,64507,7,10
1,FANCFg2 OT1,,NP_17115_NT_2_FANCFg2_OT1_S882_pear.fastq.assembled.fastqwtf-difflib_indels.csv,NT_2,NT,0.00760842,0.01521684,12,3575,78860,6,12
1,FANCFg2 OT1,,NP_17115_NT_3_FANCFg2_OT1_S883_pear.fastq.assembled.fastqwtf-difflib_indels.csv,NT_3,NT,0.008563568,0.017127137,13,4443,93419,8,16
1,FANCFg2 OT1 predicted,,NP_17115_F2_OT1d1_1_FANCFg2_OT1_S878_pear.fastq.assembled.fastqwtf-difflib_indels.csv,FANCFg2_OT1d1_only_1,dRNA,0.006548503,0.012005588,11,4000,91624,6,11
1,FANCFg2 OT1 predicted,,NP_17115_F2_OT1d1_2_FANCFg2_OT1_S879_pear.fastq.assembled.fastqwtf-difflib_indels.csv,FANCFg2_OT1d1_only_2,dRNA,0.008563843,0.019574499,16,2917,81739,7,16
1,FANCFg2 OT1 predicted,,NP_17115_F2_OT1d1_3_FANCFg2_OT1_S880_pear.fastq.assembled.fastqwtf-difflib_indels.csv,FANCFg2_OT1d1_only_3,dRNA,0.00539613,0.01079226,12,4060,92659,5,10
1,FANCFg2 OT1 predicted,,NP_17115_NT_1_FANCFg2_OT1_S881_pear.fastq.assembled.fastqwtf-difflib_indels.csv,NT_1,NT,0.010851535,0.015502194,8,1986,64507,7,10
1,FANCFg2 OT1 predicted,,NP_17115_NT_2_FANCFg2_OT1_S882_pear.fastq.assembled.fastqwtf-difflib_indels.csv,NT_2,NT,0.00760842,0.01521684,12,3575,78860,6,12
