Experiment,Site,Date,Sample,Name,X_lab,Indel_stringent,Indel,Reads_low_phred,Reads_no_nmer,Reads_passing,Total_indel_stringent,Total_indel
1,VEGFAg1 ON,04.12.17,dOTS_VEGFAg1_1_S28_L001_R1_001.fastqwtf-difflib_indels.csv,VEGFAg1_GFP_1, + + -,10.49403023,10.50564081,13130,7896,51677,5423,5429
1,VEGFAg1 ON,04.12.17,dOTS_VEGFAg1_2_S29_L001_R1_001.fastqwtf-difflib_indels.csv,VEGFAg1_GFP_2, + + -,11.11248787,11.14139975,14678,7994,48423,5381,5395
1,VEGFAg1 ON,04.12.17,dOTS_VEGFAg1_3_S30_L001_R1_001.fastqwtf-difflib_indels.csv,VEGFAg1_GFP_3, + + -,13.41310482,13.44968126,17060,7561,38276,5134,5148
1,VEGFAg1 ON,04.12.17,dOTS_VEGFAg1_d2_1_S31_L001_R1_001.fastqwtf-difflib_indels.csv,VEGFAg1_OT1d2_1, + + 2,10.2244389,10.31869146,20969,18467,101854,10414,10510
1,VEGFAg1 ON,04.12.17,dOTS_VEGFAg1_d2_2_S32_L001_R1_001.fastqwtf-difflib_indels.csv,VEGFAg1_OT1d2_2, + + 2,12.36117121,12.36117121,3828,2705,6933,857,857
1,VEGFAg1 ON,04.12.17,dOTS_VEGFAg1_d2_3_S33_L001_R1_001.fastqwtf-difflib_indels.csv,VEGFAg1_OT1d2_3, + + 2,9.885087249,9.901741271,16156,8414,54041,5342,5351
1,VEGFAg1 ON,04.12.17,dOTS_VEGFAg1_d7_1_S34_L001_R1_001.fastqwtf-difflib_indels.csv,VEGFAg1_OT1d7_1, + + 7,11.04921354,11.0670877,7885,5370,33568,3709,3715
1,VEGFAg1 ON,04.12.17,dOTS_VEGFAg1_d7_2_S35_L001_R1_001.fastqwtf-difflib_indels.csv,VEGFAg1_OT1d7_2, + + 7,12.79529635,12.8216621,9792,6188,37928,4853,4863
1,VEGFAg1 ON,04.12.17,dOTS_VEGFAg1_d7_3_S36_L001_R1_001.fastqwtf-difflib_indels.csv,VEGFAg1_OT1d7_3, + + 7,14.29701926,14.33425916,16320,11174,64447,9214,9238
1,VEGFAg1 ON,04.12.17,dOTS_VEGFAg1_d7s_1_S37_L001_R1_001.fastqwtf-difflib_indels.csv,VEGFAg1_OT1d7s_1, + + 7s,12.59241593,12.6247828,14257,10628,58702,7392,7411
1,VEGFAg1 ON,04.12.17,dOTS_VEGFAg1_d7s_2_S38_L001_R1_001.fastqwtf-difflib_indels.csv,VEGFAg1_OT1d7s_2, + + 7s,13.07051638,13.09272626,10967,4651,27015,3531,3537
1,VEGFAg1 ON,04.12.17,dOTS_VEGFAg1_d7s_3_S39_L001_R1_001.fastqwtf-difflib_indels.csv,VEGFAg1_OT1d7s_3, + + 7s,11.65796027,11.6746644,15197,10976,65852,7677,7688
1,VEGFAg1 ON,04.12.17,dOTS_VEGFAg1_d9_1_S40_L001_R1_001.fastqwtf-difflib_indels.csv,VEGFAg1_OT1d9_1, + + 9,10.70010078,10.71590887,24299,10354,50607,5415,5423
1,VEGFAg1 ON,04.12.17,dOTS_VEGFAg1_d9_2_S41_L001_R1_001.fastqwtf-difflib_indels.csv,VEGFAg1_OT1d9_2, + + 9,8.610917156,8.625292644,17527,7947,48694,4193,4200
1,VEGFAg1 ON,04.12.17,dOTS_VEGFAg1_d9_3_S42_L001_R1_001.fastqwtf-difflib_indels.csv,VEGFAg1_OT1d9_3, + + 9,9.284627093,9.312944675,15243,9020,56502,5246,5262
1,VEGFAg1 ON,04.12.17,dOTS_VEGFAg1_m4d1_1_S43_L001_R1_001.fastqwtf-difflib_indels.csv,VEGFAg1_m4d1_1, + + m4d1,13.11897387,13.14733214,10590,6863,45842,6014,6027
1,VEGFAg1 ON,04.12.17,dOTS_VEGFAg1_m4d1_2_S44_L001_R1_001.fastqwtf-difflib_indels.csv,VEGFAg1_m4d1_2, + + m4d1,14.24316781,14.29374192,11597,8005,53387,7604,7631
