Experiment,Days,Ratio_dRNA,Sample,X_lab,WT,NHEJ,HDR,HDR_Percent_Total,Order
1,4,,BFPg1-1.fcs, + 1 - -,84.057689,16.00078,0.077958,0.484851,
1,4,,BFPg1-2.fcs, + 1 - -,85.952287,14.087145,0.059148,0.418117,
1,4,,BFPg1-3.fcs, + 1 - -,85.715685,14.362692,0.019594,0.136237,
1,4,,BFPg2-1.fcs, + 2 - -,78.797964,21.30971,0.039154,0.183401,
1,4,,BFPg2-2.fcs, + 2 - -,81.437544,18.562456,0.049845,0.267807,
1,4,,BFPg2-3.fcs, + 2 - -,79.612128,20.417405,0.068911,0.336376,
1,4,,BFPg1_donor-1.fcs, + 1 + -,79.019818,20.83374,0.273357,1.295095,
1,4,,BFPg1_donor-2.fcs, + 1 + -,79.732239,19.984364,0.361575,1.777136,
1,4,,BFPg1_donor-3.fcs, + 1 + -,80.137784,19.619639,0.40753,2.034886,
1,4,,BFPg2_donor-1.fcs, + 2 + -,79.242033,18.451526,2.383003,11.437758,
1,4,,BFPg2_donor-2.fcs, + 2 + -,81.381352,16.73409,2.00296,10.689836,
1,4,,BFPg2_donor-3.fcs, + 2 + -,79.21321,19.193783,1.709568,8.17844,
1,4,,BFPg1_donor_d1-1.fcs, + 1 + 1,74.355733,25.119129,0.612662,2.380954,
1,4,,BFPg1_donor_d1-2.fcs, + 1 + 1,77.083947,22.434953,0.59892,2.600171,
1,4,,BFPg1_donor_d1-3.fcs, + 1 + 1,76.809625,22.520862,0.688919,2.968227,
1,4,,BFPg1_donor_d2-1.fcs, + 1 + 2,75.264743,24.327213,0.456621,1.842415,
1,4,,BFPg1_donor_d2-2.fcs, + 1 + 2,76.651982,22.946647,0.42095,1.801426,
1,4,,BFPg1_donor_d2-3.fcs, + 1 + 2,73.74232,25.969662,0.441628,1.672118,
1,4,,BFPg1_donor_d3-1.fcs, + 1 + 3,73.790952,25.078003,1.218799,4.63478,
1,4,,BFPg1_donor_d3-2.fcs, + 1 + 3,76.191418,22.879177,0.959067,4.023228,
1,4,,BFPg1_donor_d3-3.fcs, + 1 + 3,75.892507,23.048254,1.167124,4.819764,
1,4,,BFPg2_donor_d1-1.fcs, + 2 + 1,72.210835,24.148365,3.709126,13.314645,
1,4,,BFPg2_donor_d1-2.fcs, + 2 + 1,73.864417,23.123712,3.14922,11.986557,
1,4,,BFPg2_donor_d1-3.fcs, + 2 + 1,75.488091,21.729793,2.821164,11.491055,
