Experiment,Site,Date,Sample,Name,Cas9,X_lab,Indel_stringent,Indel,Reads_low_phred,Reads_no_nmer,Reads_passing,Total_indel_stringent,Total_indel,X_order
1,FANCFg2 ON,08.24.17,082417_C_1_FANCFg2_ON_S178_R1_001.fastqwtf-difflib_indels.csv,FANCFg2_WT_GFP_1,WT, WT + -,16.05686463,16.06114108,16683,8485,163687,26283,26290,1
1,FANCFg2 ON,08.24.17,082417_C_2_FANCFg2_ON_S179_R1_001.fastqwtf-difflib_indels.csv,FANCFg2_WT_GFP_2,WT, WT + -,12.32153569,12.32153569,162401,195451,16670,2054,2054,1
1,FANCFg2 ON,08.24.17,082417_C_3_FANCFg2_ON_S180_R1_001.fastqwtf-difflib_indels.csv,FANCFg2_WT_GFP_3,WT, WT + -,12.10056772,12.11678832,9153,594,6165,746,747,1
1,FANCFg2 ON,08.24.17,082417_C_d2_1_1_FANCFg2_ON_S181_R1_001.fastqwtf-difflib_indels.csv,FANCFg2_WT_d1_1-1_1,WT, WT + 1,12.68703634,12.69961021,11410,2497,23859,3027,3030,2
1,FANCFg2 ON,08.24.17,082417_C_d2_1_2_FANCFg2_ON_S182_R1_001.fastqwtf-difflib_indels.csv,FANCFg2_WT_d1_1-1_2,WT, WT + 1,15.25224603,15.29371113,13691,2051,14470,2207,2213,2
1,FANCFg2 ON,08.24.17,082417_C_d2_1_3_FANCFg2_ON_S183_R1_001.fastqwtf-difflib_indels.csv,FANCFg2_WT_d1_1-1_3,WT, WT + 1,11.16724699,11.16724699,1410,1472,43941,4907,4907,2
1,FANCFg2 ON,08.24.17,082417_C_d2_4_1_FANCFg2_ON_S184_R1_001.fastqwtf-difflib_indels.csv,FANCFg2_WT_d1_1-4_1,WT, WT + 4,15.45326832,15.4615321,13855,3372,24202,3740,3742,
1,FANCFg2 ON,08.24.17,082417_C_d2_4_2_FANCFg2_ON_S185_R1_001.fastqwtf-difflib_indels.csv,FANCFg2_WT_d1_1-4_2,WT, WT + 4,15.66469444,15.67710704,12709,2331,24169,3786,3789,
1,FANCFg2 ON,08.24.17,082417_C_d2_4_3_FANCFg2_ON_S186_R1_001.fastqwtf-difflib_indels.csv,FANCFg2_WT_d1_1-4_3,WT, WT + 4,16.82435629,16.84463067,17257,3558,29594,4979,4985,
1,FANCFg2 ON,08.24.17,082417_NT_1_FANCFg2_ON_S196_R1_001.fastqwtf-difflib_indels.csv,NT_1,WT, - - -,0.060338444,0.065823757,14321,3364,36461,22,24,9
1,FANCFg2 ON,08.24.17,082417_NT_2_FANCFg2_ON_S197_R1_001.fastqwtf-difflib_indels.csv,NT_2,WT, - - -,0.013463027,0.026926054,13344,2621,29711,4,8,9
