Experiment,Site,Date,Sample,Name,X_lab,Indel_stringent,Indel,Reads_low_phred,Reads_no_nmer,Reads_passing,Total_indel_stringent,Total_indel
1,VEGFAg2 ON,11.15.17,NP_17115_V2_GFP_1_VEGFg2_ON_S1048_R1_001.fastqwtf-difflib_indels.csv,VEGFAg2_GFP_1, + + - - -,7.675525864,7.68395279,37410,51381,213601,16395,16413
1,VEGFAg2 ON,11.15.17,NP_17115_V2_GFP_2_VEGFg2_ON_S1049_R1_001.fastqwtf-difflib_indels.csv,VEGFAg2_GFP_2, + + - - -,7.684346509,7.694025933,50934,73591,268611,20641,20667
1,VEGFAg2 ON,11.15.17,NP_17115_V2_GFP_3_VEGFg2_ON_S1050_R1_001.fastqwtf-difflib_indels.csv,VEGFAg2_GFP_3, + + - - -,7.32937088,7.341188211,37407,52676,228478,16746,16773
1,VEGFAg2 ON,11.15.17,NP_17115_V2_OT1_1_VEGFg2_ON_S220_pear.fastq.assembled.fastqwtf-difflib_indels.csv,VEGFAg2_OT1d1_1, + + 1 - -,6.757425305,6.760959061,8,17506,113194,7649,7653
1,VEGFAg2 ON,11.15.17,NP_17115_V2_OT1_2_VEGFg2_ON_S221_pear.fastq.assembled.fastqwtf-difflib_indels.csv,VEGFAg2_OT1d1_2, + + 1 - -,6.236815751,6.243918377,19,21243,140793,8781,8791
1,VEGFAg2 ON,11.15.17,NP_17115_V2_OT1_3_VEGFg2_ON_S222_pear.fastq.assembled.fastqwtf-difflib_indels.csv,VEGFAg2_OT1d1_3, + + 1 - -,7.985471056,7.996367764,8,16947,110125,8794,8806
1,VEGFAg2 ON,11.15.17,NP_17115_V2_OT2_1_VEGFg2_ON_S223_pear.fastq.assembled.fastqwtf-difflib_indels.csv,VEGFAg2_OT2d8_1, + + - 8 -,7.995414992,8.005275224,7,13560,81134,6487,6495
1,VEGFAg2 ON,11.15.17,NP_17115_V2_OT2_2_VEGFg2_ON_S224_pear.fastq.assembled.fastqwtf-difflib_indels.csv,VEGFAg2_OT2d8_2, + + - 8 -,6.073547687,6.101552518,9,7253,57133,3470,3486
1,VEGFAg2 ON,11.15.17,NP_17115_V2_OT2_3_VEGFg2_ON_S1051_R1_001.fastqwtf-difflib_indels.csv,VEGFAg2_OT2d8_3, + + - 8 -,4.512542477,4.518935991,47177,57450,312817,14116,14136
1,VEGFAg2 ON,11.15.17,NP_17115_V2_OT17_1_VEGFg2_ON_S1052_R1_001.fastqwtf-difflib_indels.csv,VEGFAg2_OT17d8_1, + + - - 8,4.397461986,4.405873965,42716,52574,249644,10978,10999
1,VEGFAg2 ON,11.15.17,NP_17115_V2_OT17_2_VEGFg2_ON_S1109_R1_001.fastqwtf-difflib_indels.csv,VEGFAg2_OT17d8_2, + + - - 8,3.853820598,3.853820598,2667,3155,7525,290,290
1,VEGFAg2 ON,11.15.17,NP_17115_V2_OT17_3_VEGFg2_ON_S228_pear.fastq.assembled.fastqwtf-difflib_indels.csv,VEGFAg2_OT17d8_3, + + - - 8,5.550643058,5.561426589,16,24676,139101,7721,7736
1,VEGFAg2 ON,11.15.17,NP_17115_V2_OT1_OT2_1_VEGFg2_ON_S229_pear.fastq.assembled.fastqwtf-difflib_indels.csv,VEGFAg2_OT1d1_OT2d8_1, + + 1 8 -,6.075818346,6.084875146,18,10908,77290,4696,4703
1,VEGFAg2 ON,11.15.17,NP_17115_V2_OT1_OT2_2_VEGFg2_ON_S1054_R1_001.fastqwtf-difflib_indels.csv,VEGFAg2_OT1d1_OT2d8_2, + + 1 8 -,4.893675027,4.893675027,4778,7856,7336,359,359
1,VEGFAg2 ON,11.15.17,NP_17115_V2_OT1_OT2_3_VEGFg2_ON_S231_pear.fastq.assembled.fastqwtf-difflib_indels.csv,VEGFAg2_OT1d1_OT2d8_3, + + 1 8 -,5.357908273,5.357908273,1,838,2333,125,125
1,VEGFAg2 ON,11.15.17,NP_17115_V2_OT1_OT17_1_VEGFg2_ON_S232_pear.fastq.assembled.fastqwtf-difflib_indels.csv,VEGFAg2_OT1d1_OT17d8_1, + + 1 - 8,5.758757054,5.765793659,7,12838,71057,4092,4097
1,VEGFAg2 ON,11.15.17,NP_17115_V2_OT1_OT17_2_VEGFg2_ON_S1055_R1_001.fastqwtf-difflib_indels.csv,VEGFAg2_OT1d1_OT17d8_2, + + 1 - 8,5.345941124,5.360927743,26140,37868,140125,7491,7512
