Experiment,Site,Date,Sample,Name,X_lab,Indel_stringent,Indel,Reads_low_phred,Reads_no_nmer,Reads_passing,Total_indel_stringent,Total_indel
1,FANCFg2 ON,02.08.18,NP_020818_F2_GFP_1_FANCFg2_OT1_S22_pear.fastq.assembled.fastqwtf-difflib_indels.csv,FANCFg2_GFP_1, + + -,24.69694615,24.70277411,12,3000,51476,12713,12716
1,FANCFg2 ON,02.08.18,NP_020818_F2_GFP_2_FANCFg2_OT1_S23_pear.fastq.assembled.fastqwtf-difflib_indels.csv,FANCFg2_GFP_2, + + -,24.3863112,24.40021128,8,1731,35971,8772,8777
1,FANCFg2 ON,02.08.18,NP_020818_F2_GFP_3_FANCFg2_OT1_S24_pear.fastq.assembled.fastqwtf-difflib_indels.csv,FANCFg2_GFP_3, + + -,24.57692778,24.58100559,9,2491,49046,12054,12056
1,FANCFg2 ON,02.08.18,NP_020818_F2_d1_1_FANCFg2_ON_S4_pear.fastq.assembled.fastqwtf-difflib_indels.csv,FANCFg2_d1_1, + + 1,28.14076034,28.14980664,10,2179,44217,12443,12447
1,FANCFg2 ON,02.08.18,NP_020818_F2_d1_2_FANCFg2_ON_S5_pear.fastq.assembled.fastqwtf-difflib_indels.csv,FANCFg2_d1_2, + + 1,27.93505412,27.95066611,5,1948,38432,10736,10742
1,FANCFg2 ON,02.08.18,NP_020818_F2_d1_3_FANCFg2_ON_S6_pear.fastq.assembled.fastqwtf-difflib_indels.csv,FANCFg2_d1_3, + + 1,26.03568008,26.0436622,11,2642,50112,13047,13051
1,FANCFg2 ON,02.08.18,NP_020818_F2_dnon_1_FANCFg2_ON_S16_pear.fastq.assembled.fastqwtf-difflib_indels.csv,FANCFg2_dNT_1, + + dNT,23.34613825,23.36351177,8,2640,51803,12094,12103
1,FANCFg2 ON,02.08.18,NP_020818_F2_dnon_2_FANCFg2_ON_S17_pear.fastq.assembled.fastqwtf-difflib_indels.csv,FANCFg2_dNT_2, + + dNT,25.46694819,25.46965514,8,1540,36942,9408,9409
1,FANCFg2 ON,02.08.18,NP_020818_F2_dnon_3_FANCFg2_ON_S18_pear.fastq.assembled.fastqwtf-difflib_indels.csv,FANCFg2_dNT_3, + + dNT,22.80678808,22.81659746,7,1214,30583,6975,6978
1,FANCFg2 ON,02.08.18,NP_020818_NT_1_FANCFg2_ON_S19_pear.fastq.assembled.fastqwtf-difflib_indels.csv,NT_1, - - -,0.022168034,0.025862706,2,899,27066,6,7
1,FANCFg2 ON,02.08.18,NP_020818_NT_2_FANCFg2_ON_S20_pear.fastq.assembled.fastqwtf-difflib_indels.csv,NT_2, - - -,0.01484928,0.01979904,6,694,20203,3,4
1,FANCFg2 ON,02.08.18,NP_020818_NT_3_FANCFg2_ON_S21_pear.fastq.assembled.fastqwtf-difflib_indels.csv,NT_3, - - -,0.061052254,0.064643563,0,1049,27845,17,18
1,FANCFg2 OT1,02.08.18,NP_020818_F2_GFP_1_FANCFg2_OT1_S22_pear.fastq.assembled.fastqwtf-difflib_indels.csv,FANCFg2_GFP_1, + + -,19.29219465,19.31093949,4,1375,26674,5146,5151
1,FANCFg2 OT1,02.08.18,NP_020818_F2_GFP_2_FANCFg2_OT1_S23_pear.fastq.assembled.fastqwtf-difflib_indels.csv,FANCFg2_GFP_2, + + -,20.65132364,20.667792,2,1075,24289,5016,5020
1,FANCFg2 OT1,02.08.18,NP_020818_F2_GFP_3_FANCFg2_OT1_S24_pear.fastq.assembled.fastqwtf-difflib_indels.csv,FANCFg2_GFP_3, + + -,21.38383286,21.40485098,0,996,23789,5087,5092
1,FANCFg2 OT1,02.08.18,NP_020818_F2_d1_1_FANCFg2_OT1_S25_pear.fastq.assembled.fastqwtf-difflib_indels.csv,FANCFg2_d1_1, + + 1,0.698844219,0.710363629,1,1115,26043,182,185
1,FANCFg2 OT1,02.08.18,NP_020818_F2_d1_2_FANCFg2_OT1_S26_pear.fastq.assembled.fastqwtf-difflib_indels.csv,FANCFg2_d1_2, + + 1,0.706647017,0.706647017,1,1040,26463,187,187
1,FANCFg2 OT1,02.08.18,NP_020818_F2_d1_3_FANCFg2_OT1_S27_pear.fastq.assembled.fastqwtf-difflib_indels.csv,FANCFg2_d1_3, + + 1,0.651003782,0.672825138,1,1485,27496,179,185
1,FANCFg2 OT1,02.08.18,NP_020818_F2_dnon_1_FANCFg2_OT1_S37_pear.fastq.assembled.fastqwtf-difflib_indels.csv,FANCFg2_dNT_1, + + dNT,18.58297079,18.58297079,1,513,12872,2392,2392
1,FANCFg2 OT1,02.08.18,NP_020818_F2_dnon_2_FANCFg2_OT1_S38_pear.fastq.assembled.fastqwtf-difflib_indels.csv,FANCFg2_dNT_2, + + dNT,19.80766829,19.83264643,2,634,16014,3172,3176
1,FANCFg2 OT1,02.08.18,NP_020818_F2_dnon_3_FANCFg2_OT1_S39_pear.fastq.assembled.fastqwtf-difflib_indels.csv,FANCFg2_dNT_3, + + dNT,16.97544897,16.98113208,0,702,17596,2987,2988
1,FANCFg2 OT1,02.08.18,NP_020818_NT_1_FANCFg2_OT1_S40_pear.fastq.assembled.fastqwtf-difflib_indels.csv,NT_1, - - -,0.301193336,0.324068779,2,1364,26229,79,85
1,FANCFg2 OT1,02.08.18,NP_020818_NT_2_FANCFg2_OT1_S41_pear.fastq.assembled.fastqwtf-difflib_indels.csv,NT_2, - - -,0.025863184,0.025863184,1,608,7733,2,2
1,FANCFg2 OT1,02.08.18,NP_020818_NT_3_FANCFg2_OT1_S42_pear.fastq.assembled.fastqwtf-difflib_indels.csv,NT_3, - - -,0.098431656,0.113743246,4,2830,45717,45,52
2,VEGFAg2 ON,02.08.18,NP_180208_V2_GFP_1_VEGFg2_ON_S55_R1_001.fastqwtf-difflib_indels.csv,VEGFAg2_GFP_1, + + -,10.32942758,10.33422973,1174,3804,20824,2151,2152
2,VEGFAg2 ON,02.08.18,NP_180208_V2_GFP_2_VEGFg2_ON_S56_R1_001.fastqwtf-difflib_indels.csv,VEGFAg2_GFP_2, + + -,10.32106306,10.3306922,4199,14504,72696,7503,7510
2,VEGFAg2 ON,02.08.18,NP_180208_V2_GFP_3_VEGFg2_ON_S57_R1_001.fastqwtf-difflib_indels.csv,VEGFAg2_GFP_3, + + -,8.328332922,8.335392326,3251,10265,56662,4719,4723
2,VEGFAg2 ON,02.08.18,NP_180208_V2_d1_1_VEGFg2_ON_S58_R1_001.fastqwtf-difflib_indels.csv,VEGFAg2_OT1d1_1, + + 1,9.826564964,9.836508004,4045,13194,70401,6918,6925
2,VEGFAg2 ON,02.08.18,NP_180208_V2_d1_2_VEGFg2_ON_S59_R1_001.fastqwtf-difflib_indels.csv,VEGFAg2_OT1d1_2, + + 1,9.802548914,9.818704003,3466,12250,55710,5461,5470
2,VEGFAg2 ON,02.08.18,NP_180208_V2_d1_3_VEGFg2_ON_S60_R1_001.fastqwtf-difflib_indels.csv,VEGFAg2_OT1d1_3, + + 1,8.701356091,8.709641782,3773,12643,72414,6301,6307
2,VEGFAg2 ON,02.08.18,NP_180208_V2_dnon_1_VEGFg2_ON_S67_R1_001.fastqwtf-difflib_indels.csv,VEGFAg2_dNT_1, + + dNT,6.827753335,6.832458885,2538,7565,42503,2902,2904
2,VEGFAg2 ON,02.08.18,NP_180208_V2_dnon_2_VEGFg2_ON_S68_R1_001.fastqwtf-difflib_indels.csv,VEGFAg2_dNT_2, + + dNT,7.462898027,7.466439982,1577,4935,28233,2107,2108
2,VEGFAg2 ON,02.08.18,NP_180208_V2_dnon_3_VEGFg2_ON_S69_R1_001.fastqwtf-difflib_indels.csv,VEGFAg2_dNT_3, + + dNT,6.013937551,6.033188311,1333,3450,25973,1562,1567
2,VEGFAg2 ON,02.08.18,NP_180208_NT_1_VEGFg2_ON_S70_R1_001.fastqwtf-difflib_indels.csv,NT_1, - - -,0.013723648,0.014779313,4412,9084,94727,13,14
2,VEGFAg2 ON,02.08.18,NP_180208_NT_2_VEGFg2_ON_S71_R1_001.fastqwtf-difflib_indels.csv,NT_2, - - -,0.015667559,0.018077952,3645,7868,82974,13,15
2,VEGFAg2 ON,02.08.18,NP_180208_NT_3_VEGFg2_ON_S72_R1_001.fastqwtf-difflib_indels.csv,NT_3, - - -,0.051159119,0.051159119,2868,5889,68414,35,35
