"","Site","best_dRNA","n","norm_ratio","ON_ratio","group"
"1","ZSCAN2g1 OT2","1s",3,37.9269072343092,0.729872381371736,1
"2","FANCFg2 OT1","1",3,29.9562759518754,1.03576538615059,1
"3","VEGFAg2 OT17","8",3,13.1079885872286,1.01840493135012,1
"4","CCR5-R30 CCR5-OT","3",3,11.3397845301092,0.571570524918724,1
"5","ZSCAN2g1 OT1","3",3,8.95321935481499,0.816141762388646,1
"6","VEGFAg2 OT2","8",3,7.50263512759106,1.00276794676598,1
"7","HBB-R01 HBD-OT","2",3,7.47754380774926,0.893660180214922,1
"8","VEGFAg3 OT4","1",3,6.75482207631245,1.48498580374512,1
"9","VEGFAg1 OT1","2",3,6.72022258922693,0.927214363020903,1
"10","HBB-R03 HBD-OT","4",3,6.55492585774912,0.889984737366001,1
"11","VEGFAg1 OT4","8",3,4.98698729974914,0.509038131119741,1
"12","VEGFAg1 OT6","7",3,4.56890491622378,0.663907175633779,1
"13","VEGFAg2 OT1","1",3,4.3240389400355,1.04766115849102,1
"14","VEGFAg3 OT2","2",3,4.25914470494656,1.04211629948616,1
"15","truVEGFAg3 OT2","2",3,3.1518370299177,1.05508572064147,1
"16","VEGFAg3 OT18","5",3,2.1277756924247,1.33463647538244,1
"17","VEGFAg1 OT11","7",3,40.5990215922018,0.308826789872501,2
"18","HBB-G10 OT1","7",3,3.73809138056437,0.470930435671627,2
"19","HBB-trG10 OT1","4",3,2.46177023854111,0.130407883415422,2
"20","VEGFAg2 OT19","5",3,1.545626492757,0.719605151889867,3
"21","HBB-R04 HBD-OT","4",3,1.15737698388559,0.770805275833371,3
