Experiment,Site,Date,Sample,Name,X_lab,Indel_stringent,Indel,Reads_low_phred,Reads_no_nmer,Reads_passing,Total_indel_stringent,Total_indel
1,FANCFg2 ON,03.20.18,NP_180320_F2_GFP_1_FANCFg2_ON_S537_R1_001.fastqwtf-difflib_indels.csv,FANCFg2_0_1,0,18.10330842,18.1045564,7,3305,80129,14506,14507
1,FANCFg2 ON,03.20.18,NP_180320_F2_GFP_2_FANCFg2_ON_S538_R1_001.fastqwtf-difflib_indels.csv,FANCFg2_0_2,0,18.38786328,18.3948264,15,4577,114891,21126,21134
1,FANCFg2 ON,03.20.18,NP_180320_F2_GFP_3_FANCFg2_ON_S539_R1_001.fastqwtf-difflib_indels.csv,FANCFg2_0_3,0,17.66840044,17.67161112,1,985,31146,5503,5504
1,FANCFg2 ON,03.20.18,NP_180320_F2_d1_4_1_1_FANCFg2_ON_S552_R1_001.fastqwtf-difflib_indels.csv,FANCFg2_0.25_1,0.25,18.01096319,18.01096319,961,152,2554,460,460
1,FANCFg2 ON,03.20.18,NP_180320_F2_d1_4_1_2_FANCFg2_ON_S553_R1_001.fastqwtf-difflib_indels.csv,FANCFg2_0.25_2,0.25,18.00021297,18.00340752,38503,3507,93910,16904,16907
1,FANCFg2 ON,03.20.18,NP_180320_F2_d1_4_1_3_FANCFg2_ON_S284_R1_001.fastqwtf-difflib_indels.csv,FANCFg2_0.25_3,0.25,15.81275341,15.81275341,580,564,2713,429,429
1,FANCFg2 ON,03.20.18,NP_180320_F2_d1_2_1_1_FANCFg2_ON_S549_R1_001.fastqwtf-difflib_indels.csv,FANCFg2_0.5_1,0.5,18.46497718,18.46704678,36899,3992,96637,17844,17846
1,FANCFg2 ON,03.20.18,NP_180320_F2_d1_2_1_2_FANCFg2_ON_S550_R1_001.fastqwtf-difflib_indels.csv,FANCFg2_0.5_2,0.5,18.62487188,18.625726,47302,5555,117080,21806,21807
1,FANCFg2 ON,03.20.18,NP_180320_F2_d1_2_1_3_FANCFg2_ON_S551_R1_001.fastqwtf-difflib_indels.csv,FANCFg2_0.5_3,0.5,15.75357644,15.75357644,15864,1364,40613,6398,6398
1,FANCFg2 ON,03.20.18,NP_180320_F2_d1_1_1_1_FANCFg2_ON_S540_R1_001.fastqwtf-difflib_indels.csv,FANCFg2_1_1,1,12.48780034,12.49477158,35196,4142,86068,10748,10754
1,FANCFg2 ON,03.20.18,NP_180320_F2_d1_1_1_2_FANCFg2_ON_S541_R1_001.fastqwtf-difflib_indels.csv,FANCFg2_1_2,1,15.22981425,15.23685477,32467,5021,85221,12979,12985
1,FANCFg2 ON,03.20.18,NP_180320_F2_d1_1_1_3_FANCFg2_ON_S542_R1_001.fastqwtf-difflib_indels.csv,FANCFg2_1_3,1,13.4549816,13.45632926,27058,2920,74203,9984,9985
1,FANCFg2 ON,03.20.18,NP_180320_F2_d1_1_2_1_FANCFg2_ON_S543_R1_001.fastqwtf-difflib_indels.csv,FANCFg2_2_1,2,16.17059484,16.17059484,16491,1932,44550,7204,7204
1,FANCFg2 ON,03.20.18,NP_180320_F2_d1_1_2_2_FANCFg2_ON_S544_R1_001.fastqwtf-difflib_indels.csv,FANCFg2_2_2,2,18.92300869,18.92431318,29769,3381,76658,14506,14507
1,FANCFg2 ON,03.20.18,NP_180320_F2_d1_1_2_3_FANCFg2_ON_S545_R1_001.fastqwtf-difflib_indels.csv,FANCFg2_2_3,2,18.24589246,18.2493932,32858,3402,85696,15636,15639
1,FANCFg2 ON,03.20.18,NP_180320_F2_d1_1_4_1_FANCFg2_ON_S546_R1_001.fastqwtf-difflib_indels.csv,FANCFg2_4_1,4,13.38231155,13.38522307,40511,4413,103039,13789,13792
1,FANCFg2 ON,03.20.18,NP_180320_F2_d1_1_4_2_FANCFg2_ON_S547_R1_001.fastqwtf-difflib_indels.csv,FANCFg2_4_2,4,13.6903573,13.69153223,32620,3693,85111,11652,11653
1,FANCFg2 ON,03.20.18,NP_180320_F2_d1_1_4_3_FANCFg2_ON_S548_R1_001.fastqwtf-difflib_indels.csv,FANCFg2_4_3,4,13.32465133,13.35025211,32541,3489,89841,11971,11994
1,FANCFg2 OT1,03.20.18,NP_180320_F2_GFP_1_FANCFg2_OT1_S678_R1_001.fastqwtf-difflib_indels.csv,FANCFg2_0_1,0,13.18674106,13.19330489,31,189654,30470,4018,4020
1,FANCFg2 OT1,03.20.18,NP_180320_F2_GFP_2_FANCFg2_OT1_S679_R1_001.fastqwtf-difflib_indels.csv,FANCFg2_0_2,0,13.61127662,13.61441249,8,2196,63778,8681,8683
1,FANCFg2 OT1,03.20.18,NP_180320_F2_GFP_3_FANCFg2_OT1_S680_R1_001.fastqwtf-difflib_indels.csv,FANCFg2_0_3,0,14.209957,14.21259531,4,1850,37903,5386,5387
1,FANCFg2 OT1,03.20.18,NP_180320_F2_d1_4_1_1_FANCFg2_OT1_S693_R1_001.fastqwtf-difflib_indels.csv,FANCFg2_0.25_1,0.25,1.090621607,1.096336654,16056,2558,104986,1145,1151
1,FANCFg2 OT1,03.20.18,NP_180320_F2_d1_4_1_2_FANCFg2_OT1_S694_R1_001.fastqwtf-difflib_indels.csv,FANCFg2_0.25_2,0.25,1.051980828,1.052998463,63507,17051,393068,4135,4139
1,FANCFg2 OT1,03.20.18,NP_180320_F2_d1_4_1_3_FANCFg2_OT1_S695_R1_001.fastqwtf-difflib_indels.csv,FANCFg2_0.25_3,0.25,0.885407729,0.886633489,38647,10168,244746,2167,2170
1,FANCFg2 OT1,03.20.18,NP_180320_F2_d1_2_1_1_FANCFg2_OT1_S690_R1_001.fastqwtf-difflib_indels.csv,FANCFg2_0.5_1,0.5,0.359410315,0.361208866,55341,16106,333602,1199,1205
1,FANCFg2 OT1,03.20.18,NP_180320_F2_d1_2_1_2_FANCFg2_OT1_S691_R1_001.fastqwtf-difflib_indels.csv,FANCFg2_0.5_2,0.5,0.365786473,0.3683489,50148,14285,312204,1142,1150
1,FANCFg2 OT1,03.20.18,NP_180320_F2_d1_2_1_3_FANCFg2_OT1_S692_R1_001.fastqwtf-difflib_indels.csv,FANCFg2_0.5_3,0.5,0.369497356,0.370655655,55120,15248,345334,1276,1280
1,FANCFg2 OT1,03.20.18,NP_180320_F2_d1_1_1_1_FANCFg2_OT1_S681_R1_001.fastqwtf-difflib_indels.csv,FANCFg2_1_1,1,0.151770177,0.151770177,27441,7458,175265,266,266
1,FANCFg2 OT1,03.20.18,NP_180320_F2_d1_1_1_2_FANCFg2_OT1_S362_R1_001.fastqwtf-difflib_indels.csv,FANCFg2_1_2,1,0.072498792,0.072498792,771,1357,4138,3,3
1,FANCFg2 OT1,03.20.18,NP_180320_F2_d1_1_1_3_FANCFg2_OT1_S683_R1_001.fastqwtf-difflib_indels.csv,FANCFg2_1_3,1,0.135521184,0.137429933,26120,8982,157171,213,216
1,FANCFg2 OT1,03.20.18,NP_180320_F2_d1_1_2_1_FANCFg2_OT1_S684_R1_001.fastqwtf-difflib_indels.csv,FANCFg2_2_1,2,0.149908001,0.151656199,37773,12979,228807,343,347
1,FANCFg2 OT1,03.20.18,NP_180320_F2_d1_1_2_2_FANCFg2_OT1_S685_R1_001.fastqwtf-difflib_indels.csv,FANCFg2_2_2,2,0.168541201,0.168541201,29388,7502,179778,303,303
1,FANCFg2 OT1,03.20.18,NP_180320_F2_d1_1_2_3_FANCFg2_OT1_S686_R1_001.fastqwtf-difflib_indels.csv,FANCFg2_2_3,2,0.215229533,0.216786347,41657,15295,256935,553,557
1,FANCFg2 OT1,03.20.18,NP_180320_F2_d1_1_4_1_FANCFg2_OT1_S687_R1_001.fastqwtf-difflib_indels.csv,FANCFg2_4_1,4,0.05909937,0.060756361,27878,6696,181051,107,110
1,FANCFg2 OT1,03.20.18,NP_180320_F2_d1_1_4_2_FANCFg2_OT1_S688_R1_001.fastqwtf-difflib_indels.csv,FANCFg2_4_2,4,0.07378483,0.074613873,39976,13846,241242,178,180
1,FANCFg2 OT1,03.20.18,NP_180320_F2_d1_1_4_3_FANCFg2_OT1_S689_R1_001.fastqwtf-difflib_indels.csv,FANCFg2_4_3,4,0.076675587,0.076675587,20043,3731,133028,102,102
2,VEGFAg3 ON,05.25.17,WTg3_1_VEGFAg3_S4_R1_001.fastqwtf-difflib_indels.csv,VEGFAg3_0_1,0,9.843919023,9.859372585,3407,735,6471,637,638
2,VEGFAg3 ON,05.25.17,WTg3_2_VEGFAg3_S5_R1_001.fastqwtf-difflib_indels.csv,VEGFAg3_0_2,0,9.070673344,9.18196995,2922,582,5391,489,495
2,VEGFAg3 ON,05.25.17,WTg3_3_VEGFAg3_S6_R1_001.fastqwtf-difflib_indels.csv,VEGFAg3_0_3,0,9.4639866,9.4639866,4015,682,5970,565,565
2,VEGFAg3 ON,05.25.17,WT_ratio5_1_VEGFAg3_S19_R1_001.fastqwtf-difflib_indels.csv,VEGFAg3_0.25_1,0.25,11.09333333,11.09333333,2750,530,3750,416,416
2,VEGFAg3 ON,05.25.17,WT_ratio5_2_VEGFAg3_S20_R1_001.fastqwtf-difflib_indels.csv,VEGFAg3_0.25_2,0.25,9.555533459,9.615193398,5416,1007,10057,961,967
2,VEGFAg3 ON,05.25.17,WT_ratio5_3_VEGFAg3_S21_R1_001.fastqwtf-difflib_indels.csv,VEGFAg3_0.25_3,0.25,12.17680506,12.17680506,5287,978,9321,1135,1135
2,VEGFAg3 ON,05.25.17,WT_ratio4_1_VEGFAg3_S66_R1_001.fastqwtf-difflib_indels.csv,VEGFAg3_0.5_1,0.5,9.573765613,9.638867963,17581,3940,107523,10294,10364
2,VEGFAg3 ON,05.25.17,WT_ratio4_2_VEGFAg3_S17_R1_001.fastqwtf-difflib_indels.csv,VEGFAg3_0.5_2,0.5,14.04553879,14.1249669,4507,807,7554,1061,1067
2,VEGFAg3 ON,05.25.17,WT_ratio4_3_VEGFAg3_S18_R1_001.fastqwtf-difflib_indels.csv,VEGFAg3_0.5_3,0.5,12.01975452,12.04880529,7153,1363,13769,1655,1659
2,VEGFAg3 ON,05.25.17,WT_ratio1_1_VEGFAg3_S7_R1_001.fastqwtf-difflib_indels.csv,VEGFAg3_1_1,1,12.41849437,12.47777119,3928,784,6748,838,842
2,VEGFAg3 ON,05.25.17,WT_ratio1_2_VEGFAg3_S8_R1_001.fastqwtf-difflib_indels.csv,VEGFAg3_1_2,1,11.31595119,11.35984549,5754,1175,11391,1289,1294
